Journal,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
IEEE Transactions on Computers,0.0,0.0,0.0,33.90,49.59,23.85,26.77,23.65,19.71,17.86,33.79,28.47,29.29,27.54,34.75,30.87,30.71,35.92,43.29
IEEE Transactions on Parallel and Distributed Systems,0.0,0.0,0.0,38.89,43.48,29.35,23.96,22.55,20.45,31.31,33.33,32.85,27.74,34.65,36.17,37.43,38.96,46.02,53.43
IEEE Transactions on Visualization and Computer Graphics,0.0,0.0,0.0,26.09,16.00,46.67,31.03,14.29,30.16,29.58,29.05,40.11,50.90,26.67,31.06,30.77,40.96,33.33,37.20
IEEE Intelligent Systems,0.0,0.0,0.0,17.28,20.63,12.94,13.10,17.58,22.78,31.11,31.44,23.16,32.22,31.17,33.73,32.39,18.57,33.33,31.43
IEEE Internet Computing,0.0,0.0,0.0,7.94,1.89,7.32,8.24,9.47,12.66,16.87,15.79,17.20,23.30,36.49,19.19,18.27,23.16,19.78,22.78
IEEE Network,0.0,0.0,0.0,2.50,11.11,24.39,13.16,18.37,21.74,34.15,25.00,41.67,35.85,38.10,40.82,62.50,45.45,49.25,51.39
IEEE Transactions on Multimedia,0.0,0.0,0.0,0.0,0.00,29.73,27.08,27.08,34.94,46.02,38.98,29.25,58.78,37.50,42.47,31.93,53.42,42.31,41.36
IEEE Transactions on Intelligent Transportation Systems,0.0,0.0,0.0,0.0,0.0,33.33,46.43,5.00,22.22,37.21,31.37,39.06,58.46,29.58,25.26,31.08,21.43,34.59,25.16
IEEE Pervasive Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.08,21.15,27.87,29.82,35.21,23.73,36.36,27.59,30.00,18.87,26.79,31.03
IEEE Transactions on Consumer Electronics,0.0,0.0,0.0,11.83,3.80,19.69,13.10,8.07,6.38,13.93,6.64,7.69,10.88,9.79,11.65,9.70,13.40,14.17,20.62
IEEE Micro,0.0,0.0,0.0,24.44,36.36,10.53,15.79,22.22,15.69,18.97,22.64,32.31,23.08,22.81,20.97,18.46,24.14,6.35,12.73
IEEE Computer Graphics and Applications,0.0,0.0,0.0,18.64,19.75,19.12,21.21,6.76,15.85,15.48,18.42,31.17,28.57,24.62,17.95,24.32,29.11,22.97,16.39
IEEE Transactions on Circuits and Systems II: Express Briefs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.00,24.14,19.38,21.83,20.08,19.25,17.35,18.92,17.37,23.76,23.93
IEEE Transactions on Nanotechnology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.95,29.58,36.70,43.10,41.12,47.90,26.47,20.00,25.36,29.31,24.55,24.83
IEEE Transactions on Information Forensics and Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71,62.86,32.14,31.76,33.61,30.00,40.46,43.53
IEEE Multimedia,0.0,0.0,0.0,12.20,15.22,15.69,4.88,13.73,24.44,27.45,16.07,20.75,28.57,35.71,33.33,35.71,35.71,26.19,25.53
IEEE Spectrum,0.0,0.0,0.0,2.56,2.82,0.64,0.00,0.00,0.00,2.60,2.97,1.27,0.00,0.00,0.00,0.00,0.00,0.74,0.00
IEEE Security and Privacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,20.59,16.67,7.84,8.00,7.21,7.41,4.63,6.25,6.36,12.00
IEEE Transactions on Education,0.0,0.0,0.0,44.74,34.29,8.33,6.67,5.63,14.08,9.28,13.56,7.69,12.90,11.94,4.71,18.82,10.67,6.45,8.47
IEEE Transactions on Dependable and Secure Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.14,43.75,50.00,80.00,32.14,38.24,35.71,31.51,46.67,41.46
IEEE/ACM Transactions on Computational Biology and Bioinformatics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29,41.03,29.41,27.87,40.63,26.03,30.19,36.36,27.27,24.51
IEEE Circuits and Systems Magazine,0.0,0.0,0.0,0.0,0.0,0.0,23.53,18.75,14.29,16.67,18.18,18.75,17.39,21.43,14.81,16.67,20.83,55.56,22.22
IEEE Transactions on Services Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.93,58.62,26.67,44.44,47.83,41.07
IEEE Computational Intelligence Magazine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,5.71,2.56,19.57,12.50,17.95,19.57,46.34
IEEE Transactions on Haptics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.00,18.75,41.67,35.90,16.67,24.53
IEEE Transactions on Learning Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71,30.77,26.47,32.14,43.24,25.00
IEEE Concurrency,0.0,0.0,0.0,15.38,11.76,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEEE Distributed Systems Online,0.0,0.0,0.0,0.0,0.0,19.15,11.43,14.04,23.08,15.00,22.50,20.00,50.00,0.00,0.00,0.00,0.0,0.0,0.0
IEEE Transactions on Affective Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,50.00,34.21,35.14
IEEE Computer Architecture Letters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,5.88,11.11,8.33,13.33,0.00,7.69,38.46
IEEE Transactions on Network and Service Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.00,50.00,31.25,38.71,42.11,33.33,55.17
IEEE Annals of the History of Computing,0.0,0.0,0.0,3.23,6.67,4.17,0.00,3.57,4.55,13.33,6.06,5.13,9.68,2.70,2.70,0.00,5.00,7.50,5.41
IEEE Embedded Systems Letters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,20.69,26.09,30.00,33.33
IEEE/ACM Transactions on Networking,0.0,0.0,0.0,47.22,53.03,46.27,33.33,16.25,19.78,30.56,31.19,23.39,36.75,26.35,32.47,38.19,31.76,47.10,21.34
ACM Transactions on Graphics,0.0,0.0,0.0,14.29,36.36,20.00,2.50,32.08,26.17,22.06,35.59,42.52,23.49,39.68,42.94,43.16,37.25,43.50,51.24
ACM Computing Surveys,0.0,0.0,0.0,12.50,7.14,41.67,21.43,38.46,16.67,54.55,15.38,50.00,66.67,26.32,40.00,41.94,39.47,33.80,39.29
Journal of the ACM,0.0,0.0,0.0,38.71,64.71,44.74,40.00,25.58,25.00,43.33,64.52,53.13,50.00,42.11,38.24,42.31,56.25,53.33,53.66
ACM Transactions on Information Systems,0.0,0.0,0.0,12.50,25.00,28.57,18.75,20.00,15.00,12.50,27.78,24.00,76.92,50.00,32.14,56.25,42.31,40.91,52.38
ACM Transactions on Database Systems,0.0,0.0,0.0,7.14,33.33,38.46,60.00,46.67,40.91,44.83,42.11,40.00,64.52,56.00,48.28,51.85,28.13,32.14,54.84
ACM Transactions on Mathematical Software,0.0,0.0,0.0,14.29,20.69,33.33,22.73,34.62,25.00,30.00,23.53,42.86,65.22,11.11,27.03,36.00,57.14,20.00,39.29
ACM Transactions on Software Engineering and Methodology,0.0,0.0,0.0,8.33,14.29,18.18,7.14,30.77,10.00,46.15,41.67,36.84,43.48,62.50,28.57,38.89,21.05,33.33,44.68
ACM Transactions on Programming Languages and Systems,0.0,0.0,0.0,28.13,46.43,17.65,23.81,25.00,29.63,36.36,37.04,48.89,57.58,26.09,52.38,42.86,52.94,42.86,44.44
ACM Transactions on Computer Systems,0.0,0.0,0.0,22.22,0.00,23.08,16.67,15.38,20.00,53.85,8.33,22.22,70.00,37.50,33.33,16.67,33.33,8.33,44.20
ACM Transactions on Computer-Human Interaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,20.83,21.05,46.67,66.67,19.05,33.33,39.13,28.13,42.11,33.33
ACM Transactions on Information and System Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.00,25.00,43.75,58.33,66.67,21.05,22.58,28.57,21.43,37.50,38.46
ACM Transactions on Design Automation of Electronic Systems,0.0,0.0,0.0,11.76,24.24,17.86,22.58,20.00,23.81,25.71,25.00,40.38,54.41,30.16,36.36,18.42,25.37,20.37,22.92
ACM Transactions on Sensor Networks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.82,76.92,24.44,22.64,27.78,36.11,45.16,42.03
IEEE/ACM Transactions on Computational Biology and Bioinformatics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29,41.03,29.41,27.87,40.63,26.03,30.19,36.36,27.27,24.51
ACM Transactions on Internet Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,38.10,26.32,35.71,62.50,31.25,33.33,50.00,46.67,42.86,55.88
ACM Transactions on Modeling and Computer Simulation,0.0,0.0,0.0,25.00,11.11,16.67,27.27,26.32,23.53,20.00,23.53,52.17,58.82,25.00,45.16,24.00,11.76,28.57,42.86
ACM Transactions on Computational Logic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.52,39.29,30.43,36.67,75.86,37.93,50.00,47.62,58.82,32.35,62.50
ACM Transactions on the Web,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.73,45.45,52.94,42.86,50.00,50.00,42.11
ACM Transactions on Algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.60,80.30,45.28,35.94,68.29,52.63,33.33,73.53
ACM Transactions on Knowledge Discovery from Data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33,24.00,26.92,45.45,23.08,30.00,35.14
ACM Transactions on Autonomous and Adaptive Systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.50,60.00,25.00,37.50,24.14,43.59,33.33,37.50
ACM Transactions on Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,73.33,19.05,0.00,35.71,5.56,28.57,10.53
ACM Journal on Emerging Technologies in Computing Systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00,62.50,10.53,14.29,20.00,17.65,23.33,22.95
ACM Transactions on Intelligent Systems and Technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.00,32.20,38.95,39.47
ACM Transactions on Applied Perception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.26,34.29,21.05,23.81,33.33,50.00
ACM Transactions on Reconfigurable Technology and Systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.92,17.24,18.18,26.32,31.43
ACM Transactions on Accessible Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,7.69,33.33,37.50,28.57,28.57
ACM Transactions on Management Information Systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,18.75,20.83,42.11
ACM Transactions on Computing Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.50,0.00,5.26,18.18
ACM Transactions on Computation Theory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.00,33.33,57.14,44.44,61.90
