annual review of clinical psychology, Inc."
journal of rational - emotive and cognitive - behavior therapy,0.764
intervention in school and clinic,0.562
journal of health care chaplaincy,-
counselling psychology quarterly,0.482
arts in psychotherapy,0.789
clinical gerontologist,0.854
international journal of play therapy,1.12
psychodynamic psychiatry,0.453
british journal of psychotherapy,0.484
journal of psychotherapy integration,0.925
person-centered and experiential psychotherapies,0.629
group analysis,0.973
journal of applied biobehavioral research,0.312
therapeutic communities the international journal for therapeutic and supportive organizations,0.159
psychotherapeut,0.257
clinical case studies,0.301
clinical supervisor the,-
clinical psychologist,0.558
psychoanalytic review,0.71
journal of child and adolescent mental health,0.249
gruppenpsychotherapie und gruppendynamik,0.244
journal de therapie comportementale et cognitive,0.3
art therapy, Inc."
clinical psychology forum,0.194
journal of analytical psychology,0.601
psicoterapia e scienze umane,0.566
psychodynamic practice,0.484
therapie familiale,0.92
journal of neurotherapy,0.578
familiendynamik,0.652
psychotropes,0.02
ricerca in psicoterapia,-
psychoanalytic psychotherapy,0.557
journal of creativity in mental health,0.353
terapia psicologica,0.556
journal of groups in addiction and recovery,0.441
revue francaise de psychanalyse,0.228
counseling and values,0.62
psicologia conductual,0.291
contemporary hypnosis,-
body movement and dance in psychotherapy,-
journal of college student psychotherapy,0.403
tizard learning disability review,0.408
cahiers critiques de therapie familiale et de pratiques de reseaux,0.207
revue de psychotherapie psychanalytique de groupe,0.378
travailler,0.868
ethical human psychology and psychiatry,0.608
revista argentina de clinica psicologica,0.228
revista latinoamericana de psicopatologia fundamental,0.42
salud mental,0.201
counselor education and supervision,0.911
american journal of psychoanalysis,0.98
scandinavian psychoanalytic review,0.402
japanese journal of neuropsychopharmacology,0.047
mental health in family medicine,0.929
internet journal of mental health,0.904
sante mentale au quebec,-
australian journal of clinical and experimental hypnosis,0
psychiatria i psychologia kliniczna,0.018
psycho-oncologie,0.406
mental health aspects of developmental disabilities,-
zeitschrift fur medizinische psychologie,0.226
archives of psychiatry and psychotherapy,0.175
psicooncologia,0.153
psychotherapies,0.447
sleep and hypnosis,0
psihologijske teme,0.277
avances en psicologia latinoamericana,0.165
counselling and psychotherapy research,0.556
postepy psychiatrii i neurologii,0.019
journal of infant child and adolescent psychotherapy,-
journal of cancer pain and symptom palliation,-
cahiers de psychologie clinique,0.175
adhd attention deficit and hyperactivity disorders,0.736
connexions,0.137
psychoterapia,0.215
giornale italiano di psicopatologia,0.079
topique,0.05
psicoterapia cognitiva e comportamentale,0.125
revue francaise de psychosomatique,0.022
journal of addictions and offender counseling,0.381
japanese journal of psychopharmacology,-
champ psychosomatique,0.098
rorschachiana,0.583
neurologia-neurocirugia psiquiatria,0
psicologia clinica,0.276
advances in special education,0
australian journal of clinical hypnotherapy and hypnosis,0
international journal of psychosocial rehabilitation,0.086
gestalt,0
cliniques mediterraneennes,0.056
learning disability today,0
savoirs et clinique,0
imaginaire et inconscient,0
etudes sur la mort,0.038
figures de la psychanalyse,0
essaim,0
